Epoch [59/100] | Loss_D: -18.4759 | Loss_G: -24.5865 | GP: 0.4376 | Time: 851.2s
Epoch [60/100] | Loss_D: -18.4040 | Loss_G: -24.7695 | GP: 0.4347 | Time: 855.6s
Epoch [61/100] | Loss_D: -18.4140 | Loss_G: -24.9636 | GP: 0.4402 | Time: 850.1s
Epoch [62/100] | Loss_D: -18.5663 | Loss_G: -24.9758 | GP: 0.4401 | Time: 849.0s
Epoch [63/100] | Loss_D: -18.6654 | Loss_G: -25.1500 | GP: 0.4413 | Time: 849.3s
Epoch [64/100] | Loss_D: -18.7083 | Loss_G: -25.3094 | GP: 0.4460 | Time: 853.1s
Epoch [65/100] | Loss_D: -18.7121 | Loss_G: -25.5561 | GP: 0.4479 | Time: 850.5s
Epoch [66/100] | Loss_D: -18.6767 | Loss_G: -25.8263 | GP: 0.4477 | Time: 868.4s
Epoch [67/100] | Loss_D: -18.7146 | Loss_G: -26.0445 | GP: 0.4460 | Time: 849.5s
Epoch [68/100] | Loss_D: -18.7703 | Loss_G: -26.0970 | GP: 0.4483 | Time: 862.4s
Epoch [69/100] | Loss_D: -18.7178 | Loss_G: -26.1617 | GP: 0.4423 | Time: 846.3s
Epoch [70/100] | Loss_D: -18.7910 | Loss_G: -26.2804 | GP: 0.4471 | Time: 845.2s
Epoch [71/100] | Loss_D: -18.8049 | Loss_G: -26.3449 | GP: 0.4442 | Time: 844.0s
Epoch [72/100] | Loss_D: -18.8513 | Loss_G: -26.4284 | GP: 0.4508 | Time: 852.5s
Epoch [73/100] | Loss_D: -18.8556 | Loss_G: -26.5018 | GP: 0.4475 | Time: 847.0s
Epoch [74/100] | Loss_D: -18.8328 | Loss_G: -26.5957 | GP: 0.4470 | Time: 844.3s
Epoch [75/100] | Loss_D: -18.8628 | Loss_G: -26.6655 | GP: 0.4498 | Time: 869.2s
Epoch [76/100] | Loss_D: -18.9272 | Loss_G: -26.7207 | GP: 0.4524 | Time: 841.2s
Epoch [77/100] | Loss_D: -18.8330 | Loss_G: -26.7761 | GP: 0.4473 | Time: 849.8s
Epoch [78/100] | Loss_D: -18.8457 | Loss_G: -26.8575 | GP: 0.4487 | Time: 843.6s
Epoch [79/100] | Loss_D: -18.8782 | Loss_G: -26.8642 | GP: 0.4483 | Time: 846.7s
Epoch [80/100] | Loss_D: -18.8801 | Loss_G: -26.9510 | GP: 0.4491 | Time: 850.6s
Epoch [81/100] | Loss_D: -18.8495 | Loss_G: -26.9067 | GP: 0.4491 | Time: 931.0s
Epoch [82/100] | Loss_D: -18.9495 | Loss_G: -26.9145 | GP: 0.4503 | Time: 1075.9s
Epoch [83/100] | Loss_D: -18.9649 | Loss_G: -26.8564 | GP: 0.4517 | Time: 858.5s
Epoch [84/100] | Loss_D: -18.9701 | Loss_G: -26.8310 | GP: 0.4482 | Time: 859.3s
Epoch [85/100] | Loss_D: -18.9613 | Loss_G: -26.8038 | GP: 0.4483 | Time: 902.5s
Epoch [86/100] | Loss_D: -18.9709 | Loss_G: -26.7830 | GP: 0.4479 | Time: 1166.6s
Epoch [87/100] | Loss_D: -18.9784 | Loss_G: -26.8015 | GP: 0.4499 | Time: 1164.0s
Epoch [88/100] | Loss_D: -18.9729 | Loss_G: -26.8293 | GP: 0.4542 | Time: 994.8s
Epoch [89/100] | Loss_D: -18.9448 | Loss_G: -26.7807 | GP: 0.4513 | Time: 879.7s
Epoch [90/100] | Loss_D: -18.9156 | Loss_G: -26.8393 | GP: 0.4502 | Time: 887.8s
Epoch [91/100] | Loss_D: -18.9022 | Loss_G: -26.8511 | GP: 0.4484 | Time: 871.8s
Epoch [92/100] | Loss_D: -18.9209 | Loss_G: -26.8597 | GP: 0.4497 | Time: 875.2s
Epoch [93/100] | Loss_D: -18.9068 | Loss_G: -26.8655 | GP: 0.4515 | Time: 871.7s
Epoch [94/100] | Loss_D: -18.8965 | Loss_G: -26.8684 | GP: 0.4495 | Time: 863.1s
Epoch [95/100] | Loss_D: -18.8995 | Loss_G: -26.8941 | GP: 0.4535 | Time: 860.2s
Epoch [96/100] | Loss_D: -18.9425 | Loss_G: -26.8891 | GP: 0.4501 | Time: 863.0s
Epoch [97/100] | Loss_D: -18.9195 | Loss_G: -26.9060 | GP: 0.4474 | Time: 851.8s
Epoch [98/100] | Loss_D: -18.9151 | Loss_G: -26.9039 | GP: 0.4490 | Time: 868.7s
Epoch [99/100] | Loss_D: -18.9139 | Loss_G: -26.9027 | GP: 0.4496 | Time: 853.2s
Epoch [100/100] | Loss_D: -18.9044 | Loss_G: -26.9017 | GP: 0.4521 | Time: 844.0s
